,Condition,mean_DA,sd_DA,CV_DA,mean_Dens,sd_Dens,CV_Dens,KS_norm,RaoQE_DA,DIV_DA,TIME
siIkappaBalpha_225,siIkappaBalpha,0.426049805,0.102942887,24.16217209,1.123510742,0.242128065,21.55102359,0.02443095,0.057919507,0,225
siIkappaBalpha_240,siIkappaBalpha,0.430544739,0.111033682,25.78911595,1.129910521,0.260687044,23.07147685,0.019770328,0.062723767,2.22E-16,240
siIkappaBalpha_255,siIkappaBalpha,0.435626536,0.106964378,24.55414659,1.159484029,0.259750375,22.40223829,0.026303346,0.059776182,0,255
siIkappaBalpha_270,siIkappaBalpha,0.419749016,0.101114874,24.08936535,1.108461614,0.232985013,21.01877142,0.039331255,0.056593549,1.67E-16,270
siIkappaBalpha_285,siIkappaBalpha,0.414565068,0.099906902,24.09920894,1.138321062,0.242500581,21.30335537,0.026748438,0.056340188,5.55E-17,285
siIkappaBalpha_300,siIkappaBalpha,0.424610667,0.107146678,25.23409942,1.133499556,0.249651147,22.02481205,0.037377629,0.059971376,0.043093236,300
siIkappaBalpha_315,siIkappaBalpha,0.428269987,0.112416212,26.24891198,1.118568807,0.257036771,22.97907554,0.038912412,0.062555665,2.78E-16,315
siIkappaBalpha_330,siIkappaBalpha,0.431368794,0.108737536,25.20755724,1.116314083,0.253905895,22.745023,0.032323487,0.061199052,3.33E-16,330
siIkappaBalpha_345,siIkappaBalpha,0.42270231,0.109950496,26.01133087,1.189795552,0.297825406,25.03164565,0.031482,0.06201961,0,345
siIkappaBalpha_360,siIkappaBalpha,0.428653846,0.110173555,25.70222009,1.180020572,0.287732852,24.38371485,0.028911411,0.062180981,5.55E-17,360
