"V2"	"V3"	"V4"	"V5"	"V6"
"29"	0.475	8.33694432954851e-05	0.04504359259143	2.38592196929035	22.8024321819557
"30"	0.427	8.21223150304606e-05	0.0552404693678064	560.490228974751	2319.58695017938
"31"	0.427	8.23254278870039e-05	0.237089503171732	0.0321246799451881	2318.89988096312
"32"	0.427	8.16511317742395e-05	0.143437749228925	432.615730946787	2317.16098280288
"33"	0.427	8.20625564478598e-05	1.2292786949413	511.211560757457	2319.75529208376
"34"	0.427	8.20100392176726e-05	0.59875051171729	529.074568467125	2315.8932166828
"35"	0.427	8.23370423701434e-05	4.89466548778334	16.6821429424104	2320.92993514873
"36"	0.427	8.20756225958e-05	6.80746956802037	522.241017044462	2323.30563008181
"37"	0.427	8.16380736668671e-05	1.48851835392478	0.231591066193568	2315.25689772965
"38"	0.427	8.16014547213913e-05	76.3584513831955	487.036689826526	2323.36474532791
"39"	0.409	0.00187318095656929	4.87999544367159	0.523220207210667	2320.26983154445
"40"	0.427	8.17701932447318e-05	0.00954226650380807	484.344842938587	2322.8543279855
"41"	0.427	8.16014211841762e-05	0.0474859645778175	0.150983502184271	2323.36473878448
"42"	0.427	8.16446013403473e-05	0.0538097194841485	115.229604365468	2317.21524246298
"43"	0.474	8.18575637388155e-05	0.0451300258530124	49.9878199553094	37.8969354346063
"44"	0.427	8.16014263942527e-05	0.0490289695794021	483.964006700753	2323.36474532791
"45"	0.427	8.16014211841762e-05	0.0552024454141141	559.140955889606	2323.36473992252
"46"	0.427	8.21808304635399e-05	0.217257089553777	0.0230862976297383	2320.01764503454
"47"	0.427	8.16014211841762e-05	2.44171170553047	505.479562423913	2323.36384009479
"48"	0.427	8.19261715434707e-05	22.5487274280605	365.368253749489	2323.36474532791
"49"	0.5	8.16251389739686e-05	355.325847473597	0.0217134298100976	2317.10681160059
"50"	0.508	0.00187454331553753	0.0467508241983761	0.00756396858669217	9.8954787284255
"51"	0.427	8.16014232155887e-05	0.232439163448687	0.906932832757492	2323.36474532791
"52"	0.427	8.16014211841762e-05	0.229469737899291	88.8154549977805	2323.3647404367
"53"	0.427	8.19991766587708e-05	1.05662927970269	0.710752789670898	2320.88432001286
"54"	0.427	8.22367880573398e-05	1.05533647026906	16.6809751900373	2322.1356698421
"55"	0.427	8.21080792844639e-05	1.15768977529195	19.3831650586854	2321.83242108947
"56"	0.409	0.00187450667961745	1.09488442620757	486.236864036104	2321.73124607447
"57"	0.409	0.00186883202846959	0.900139620261225	0.0323478088503118	2323.01466748426
"58"	0.508	0.00187544598349028	0.820806871450215	0.0244033199606702	5.57646476347686
"59"	0.409	0.00187391037314157	5.06251739960813	16.0451453818871	2322.59521624847
"60"	0.428	8.26580440317642e-05	5.00369086409515	86.3597655826828	2294.53195244343
"61"	0.409	0.00187587951389839	0.0108737789234001	111.727487334924	2321.33536226326
"62"	0.508	0.00187404707629762	0.0479331457597333	0.00184457624739472	7.0091076719745
"63"	0.409	0.00187526504969168	0.0474603090236664	0.00651773714870878	2322.93007635023
"64"	0.409	0.00187445524538176	0.0498159693142092	0.00693405952306157	2320.89986880262
"65"	0.409	0.00187426329733199	0.0474721398236892	0.0347085970840765	2319.61828310522
"66"	0.409	0.00187330715167751	0.0543183325772152	1.16139460845454	2323.16195602093
"67"	0.409	0.00187600378227247	0.0526521419310603	20.4914330703751	2320.53563025664
"68"	0.427	8.22446742040419e-05	1.06470783920133	0.064664534926059	2317.72391063629
"69"	0.409	0.0018746273121894	5.03223551467997	4.83485855791984	2321.36954628035
"70"	0.409	0.00187524504671064	22.6143797366076	3.2612052042965	2323.09371166584
"71"	0.409	0.00187582137413248	119.520610088577	4.88919561079136	2320.04401128652
"72"	0.427	8.21452678273838e-05	1.53909016833223	0.0237538137881703	2321.2796810668
"73"	0.409	0.00187470709884905	2.56201692841444	0.222991685703387	2321.49711859198
"74"	0.409	0.00187468530890137	4.51334965654778	0.22283047340814	2321.69878160031
"75"	0.409	0.00187612928843181	489.837466854883	414.329915751439	2323.3629034007
"76"	0.409	0.00187476898400732	500.891856947717	520.565856343054	2321.77590537402
"77"	0.508	0.0018752936078046	0.00924135477079867	2.1689224910216	0.437332953161985
"78"	0.409	0.00187486032650969	0.00945644607385328	518.55901578055	2321.54552101532
"79"	0.409	0.00187325869105114	0.0498764690687824	1.05986148736353	2323.15992936932
"80"	0.409	0.00187446706511062	0.0474258383089334	15.1057740138506	2322.69543014604
"81"	0.409	0.00187359209240137	0.246393819571253	4.13020526594201	2320.80260566736
"82"	0.409	0.00187587714891295	0.901841899747931	0.0244733792371218	2322.13160454959
"83"	0.409	0.00187566687421374	1.14110712829966	0.235514888858759	2319.15046403754
"84"	0.409	0.00187458705440771	5.10642026272567	1.15959510145948	2321.13981705213
"85"	0.508	0.00187377013726269	4.75880461820534	160.995869489661	8.36394653950582
"86"	0.409	0.00187435682929893	0.158624452519018	0.032135713421119	2322.80791705473
"87"	0.409	0.00186734965492605	23.0405479179026	0.877547728689292	2323.25154114644
"88"	0.409	0.00187425479803671	23.7442340861969	16.9561514281456	2322.3004274887
"89"	0.409	0.00187462900392169	23.6310074408925	105.449320692166	2321.44498286986
"90"	0.409	0.00186533457181569	0.0829615522315326	0.00729171758057772	2323.13969767403
"91"	0.409	0.00187517152866668	0.647709593939645	0.163268315002175	2322.71671647445
"92"	0.509	0.00187492399456247	115.339047765642	1.27856217922726	0.465539303269899
"93"	0.409	0.0018751626289176	95.3426077056445	2.97376468264834	2321.93266826346
"94"	0.409	0.00187537524065344	103.588266280779	23.3288652989108	2322.49298307766
"95"	0.409	0.00187459585904049	118.08026757627	485.507659402338	2321.37597944689
"96"	0.427	8.16014211841762e-05	0.706957339923166	0.00651814345937653	2322.38090329509
"97"	0.427	8.17149873902074e-05	0.491163937403811	0.00916578032911758	2323.14419406947
"98"	0.508	0.00187547626867939	43.6357718979298	2.49450567426712	0.165613102813292
"99"	0.508	0.00187582186909736	516.459261361299	8.8916235712961	1.51465889088465
"100"	0.508	0.00186210228382526	489.189320283209	40.0505188245614	1.63817969056097
